bin,confidence,accuracy,count,ece_contrib
0,0.033722725,0.15492957746478872,71,0.022948497444391248
1,0.13928849,0.30434782608695654,23,0.010123639583587647
2,0.254609,0.6111111111111112,18,0.017112101872762048
3,0.33612517,0.5,14,0.006117993831634522
4,0.46439585,0.7857142857142857,14,0.011995888233184815
5,0.552858,0.5625,16,0.0004113922119140625
6,0.6478677,0.7142857142857143,28,0.004959213256835939
7,0.7586615,0.9375,16,0.007630442301432292
8,0.8660771,0.8169014084507042,71,0.009310602347056066
9,0.9643148,0.9230769230769231,104,0.011436642964680974
