id,text_lemma,true_label,pred_label,pred_prob
115,honest say,1,0,0.9998821
304,return to the pondemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,1,0,0.9824792
35,bless he,0,1,0.9804717
287,jon jones vs jake paul confirm,0,1,0.978296
119,lol guru jon be not fight ngannou he s not fight anyone he s the wwe heavyweight champion,0,1,0.97771055
323,jones correu do francis e agora tá correndo do espinal essa luta não vai rolar não esperem essa luta,1,0,0.9677348
252,lol chael throw rabbit punch he didn t know what to do,1,0,0.9667339
362,f k jones make the fight aspinall vs ngannou much well fight,0,1,0.9666326
205,paddy the badddy,1,0,0.96624714
220,good for he I say,0,1,0.9650181
28,and look at he now a proper emoji_duck,1,0,0.9625226
274,lol no way emoji_smiling_face_with_open_mouth_and_cold_sweatemoji_smiling_face_with_open_mouth_and_cold_sweatemoji_smiling_face_with_open_mouth_and_cold_sweat jon be hilarious I don t understand why the ufc would book such a match for the title when you have an interim champion in the division doesn t make sense jones be act as if people be just pull up aspinall out of nowhere why have an interim championship when the undisputed champion be actively fight in the division,1,0,0.9509311
151,somebody call a doctor stipe ain t gon shit right for 2week after the mule kick ouch I feel bad for dood,1,0,0.9466908
247,bispe gullible af man it s actually cute how easy it be to trick this guy,1,0,0.9305644
21,no chance on beat fury or wilder,1,0,0.9282617
351,tha g o a t,0,1,0.92436075
13,this fight should have never happen jones be x3 fast,0,1,0.9170688
141,aspinall so thirsty to fight the champ how many time must bone prove himself you all keep come back to see he loose you all thirsty like tom emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,0,1,0.9100809
89,john jones be a fuckin bum that would get smash in a street fight,1,0,0.90190923
49,why be we translate english to english,0,1,0.89711344
