id,tokens
0,jon jones is the goat it is so unbelievably hard what he did he became champ at 23 and stay champion until today he fought the best lightweight champions in their primes he is a double champ with multiple title defenses lead in the history in title defenses basically undefeated congrat to jon jones
1,you can sense the aggression from jon dont touch me no friendly face off he did not want tom to be there at all
2,i guess this answers the question if you put jones and aspinall in a room who would come out first the answer is tom duck killa aspinall
3,jones won the round but lost the fight
4,it doesn t matter anyway jon you beat his ass😂😂his kids can look back now and say their dad got beat up by an asshole sucks for him not you🤝
5,dc is one of the few people on earth that could tank a bomb or takedown from bones lol
6,no knees were down i don t see how it was illegal i do however see alot of jones haters in these comments though
7,ngannou aspinall
8,rip💙
9,jon could easily kill him if there was no referee
