label,rank,feature,avg_tfidf
negative,1,fight,0.06420853605126123
negative,2,tom,0.029467346889042192
negative,3,just,0.021125754512555116
negative,4,lose,0.019986417098219935
negative,5,scared,0.017632642355412283
negative,6,shit,0.017463901617020765
negative,7,want,0.016309124762775264
negative,8,dana,0.015794613960042524
negative,9,think,0.015030856270237468
negative,10,guy,0.014767841325722838
negative,11,like,0.014457800709610091
negative,12,know,0.014285970575326202
negative,13,say,0.014105314055512002
negative,14,man,0.013596064256155938
negative,15,aspinall,0.013157914960453211
negative,16,dc,0.01307796175447137
negative,17,make,0.012946887477326407
negative,18,goat,0.012917259875399384
negative,19,don,0.012779613754081298
negative,20,bad,0.01268767157174865
neutral,1,goat,0.028017152428754438
neutral,2,duck,0.02130998868080466
neutral,3,tom,0.02062664490179543
neutral,4,emoji_face_with_tears_of_joy,0.01635194708762488
neutral,5,emoji_duck,0.015591335146688822
neutral,6,man,0.014518531374688089
neutral,7,emoji_goat,0.013753834051344392
neutral,8,aspinall,0.012703227060451721
neutral,9,john,0.011581948249499853
neutral,10,dc,0.011571915206163534
neutral,11,dana,0.011151152237103737
neutral,12,beat,0.011070909771455494
neutral,13,vs,0.010487180872626766
neutral,14,say,0.01022647780185971
neutral,15,know,0.010206318934743936
neutral,16,strip,0.009891032055771517
neutral,17,time,0.009663188836814867
neutral,18,look,0.009649308880838453
neutral,19,let,0.009089321664836265
neutral,20,think,0.00844358696513214
positive,1,good,0.03810187739262659
positive,2,like,0.037588035530178254
positive,3,fight,0.026844189618050036
positive,4,win,0.025998401867135357
positive,5,tom,0.02470514014808998
positive,6,great,0.024290616649378555
positive,7,fighter,0.023704323058246626
positive,8,love,0.02362369491242409
positive,9,say,0.019621805807562988
positive,10,lol,0.01865517169680794
positive,11,champion,0.01814104219058877
positive,12,respect,0.017684163680363484
positive,13,want,0.017640469364550763
positive,14,guy,0.017148827474959525
positive,15,just,0.016506851396754455
positive,16,time,0.016186763406367415
positive,17,man,0.015081871413556536
positive,18,make,0.014222206265353195
positive,19,look,0.013696203066968535
positive,20,champ,0.013353024280485638
